stadiumId,stadiumName,streat,city,fl,zip,phone,capacity
1,Sun Life Stadium,347 Don Shula Dr,Miami Gardens,FL,33056,(305)943-8000,80120
2,FedExField,1600 Fedex Way,Landover,MD,20785,3012766000,79000
3,Mercedes-Benz Superdome,1500 Sugar Bowl Dr,New Orleans,LA,70112,(504) 587-3663,72003
4,Ralph Wilson Stadium,1 Bills Dr,Orchard Park,NY,14127,716-648-1800,73967
5,Heinz Field,Rooney Avenue,Pittsburgh ,PA,15212,(412) 323-1200,65500
6,Lambeau Field,1265 Lombardi Ave,Green Bay,WI,54304,(920) 569-7500,80978
7,Paul Brown Stadium,1 Paul Brown Stadium,Cincinnati,OH,45202,(513) 455-4800,65535
9,Qualcomm Stadium,9449 Friars Road,San Diego,CA,92108,619-641-3100,71294
11,M&T Bank Stadium,1101 Russel St.,Baltimore,MD,21230,410-261-7283,71008
12,Gillette Stadium,1 Patriot Pl,Foxborough,MA,2035,(508) 543-8200,68756
13,Soldier Field,1410 Museum Campus Drive,Chicago,IL,60605,(312)235-7000,61500
15,Levi's Stadium,4900 Marie P DeBartolo Way,Santa Clara,CA,95054,(415) 464-9377,68500
16,O.co Coliseum,7000 Coliseum Way,Oakland,CA,94621,(510) 569-2121,63132
20,TCF Bank Stadium,420 SE 23rd Ave,Minneapolis,MN,55455,612 33-VIKES,50805
21,University of Phoenix Stadium,1 Cardinals Drive,Glendale,AZ,85305,623-433-7101,63400
22,Tampa Bay Buccaneers,Dale Mabry Hwy,Tampa,FL,33607,(813) 350-6500,65857
26,Georgia Dome,1 Georgia Dome Drive,Atlanta,GA,30313-1591,404-223-9200,74228
27,Ford Field,2000 Brush St,Detroit,MI,48226,(313) 262-2000,65000
28,Lucas Oil Stadium,500 S Capitol Ave,Indianapolis,IN,46225,(317) 262-8600,67000
29,Bank,One Ever Bank Field Drive,Jacksonville,FL,32202,(904)633-6100,76867
32,Sports Authority Field at Mile High,1701 Bryant St,Denver,CO,80204,(720) 258-3000,76125
33,New Meadowlands Stadium,One MetLife Stadium Dr.,East Rutherford,NY,7073,(201) 559-1515,82566
36,NRG Stadium,Reliant Pkwy,Houston,TX,77054,(832) 667-1400,71500
38,LP Stadium,1 Titans Way,Nashville,TN,31273,(615) 565-4300,69143
40,FirstEnergy Stadium,100 Alfred Lerner Way,Cleveland,OH,44114,1 440-891-5001,67389
41,MetLife Stadium,1 MetLife Stadium Dr.,East Rutherford,NJ,7073,(201) 559-1515,82566
